Name,TCG,Amazon,Spread,% Spread
Clever Impersonator,1.75,2.49,0.74,0.702811245
Farseek ,0.59,0.84,0.25,0.702380952
Copperline Gorge,6,8.55,2.55,0.701754386
Venerated Loxodon ,0.94,1.34,0.4,0.701492537
Impact Tremors ,1.29,1.84,0.55,0.701086957
Murderous Rider (Showcase),6.48,9.25,2.77,0.700540541
Collected Company ,14.13,20.2,6.07,0.69950495
Empowered Autogenerator,3.35,4.8,1.45,0.697916667
Descent of The Dragons ,3.74,5.36,1.62,0.697761194
Rest in Peace ,4.17,5.98,1.81,0.697324415
Angel of Invention ,2.48,3.57,1.09,0.694677871
Izzet Signet,1.38,1.99,0.61,0.693467337
Nature's Claim,0.45,0.65,0.2,0.692307692
Runechanter's Pike,0.45,0.65,0.2,0.692307692
Dark Petition ,5.12,7.4,2.28,0.691891892
"Nicol Bolas, Dragon-God",9.4,13.59,4.19,0.691685063
Seaside Citadel,3.25,4.7,1.45,0.691489362
Peregrine Drake ,0.56,0.81,0.25,0.691358025
"Ajani, Adversary of Tyrants",3.49,5.06,1.57,0.68972332
Drift of Phantasms,0.86,1.25,0.39,0.688
Azorius Signet,1.85,2.7,0.85,0.685185185
Splendid Reclamation ,2.85,4.16,1.31,0.685096154
Diluvian Primordial ,1.42,2.08,0.66,0.682692308
Grove of The Burnwillows,7.14,10.46,3.32,0.682600382
"Vorinclex, Voice of Hunger",17,24.99,7.99,0.680272109
Rampaging Ferocidon,3.48,5.12,1.64,0.6796875
Dragon Tempest ,2.97,4.39,1.42,0.676537585
Nihil Spellbomb,0.46,0.68,0.22,0.676470588
Oketra the True,2.09,3.09,1,0.676375405
"Krenko, Tin Street Kingpin",2.83,4.19,1.36,0.675417661
Bloodghast,8.51,12.62,4.11,0.674326466
Horn of Greed ,3.5,5.2,1.7,0.673076923
Izzet Charm ,2.01,2.99,0.98,0.672240803
Mox Amber,13.67,20.38,6.71,0.670755643
Blinding Angel,1.62,2.42,0.8,0.669421488
Cultivate,1.25,1.87,0.62,0.668449198
Cavalier of Gales,5.16,7.72,2.56,0.668393782
Kolaghan's Command ,16.1,24.1,8,0.668049793
"Surrak, The Hunt Caller ",0.5,0.75,0.25,0.666666667
Ogre Slumlord ,4,6.01,2.01,0.665557404
Relic of Progenitus ,1.99,2.99,1,0.665551839
Ponder,1.99,2.99,1,0.665551839
"Kess, Dissident Mage",0.99,1.49,0.5,0.66442953
Flesh Carver ,0.99,1.49,0.5,0.66442953
Crop Rotation ,4.1,6.18,2.08,0.663430421
Watery Grave ,9.46,14.28,4.82,0.662464986
Fulminator Mage,4.8,7.25,2.45,0.662068966
Cackling Counterpart,0.47,0.71,0.24,0.661971831
Merciless Executioner ,0.45,0.68,0.23,0.661764706
Plaxcaster Frogling,0.45,0.68,0.23,0.661764706
Rampant Growth,0.45,0.68,0.23,0.661764706
Harnessed Lightning ,0.43,0.65,0.22,0.661538462
Sol Ring ,3.27,4.95,1.68,0.660606061
Thopter Spy Network ,1.26,1.91,0.65,0.659685864
Norin The Wary,2.5,3.79,1.29,0.659630607
Abrupt Decay,9.11,13.82,4.71,0.65918958
Scavenging Ooze,3.99,6.06,2.07,0.658415842
Harmonize ,1.04,1.58,0.54,0.658227848
Sol Ring ,3.5,5.34,1.84,0.655430712
Command Tower,1.3,1.99,0.69,0.653266332
Rishadan Port,8.48,13.01,4.53,0.651806303
Cataclysm,3.54,5.45,1.91,0.649541284
Dragonlord Ojutai ,8.17,12.59,4.42,0.64892772
Twilight's Call,0.48,0.74,0.26,0.648648649
Reality Acid,0.44,0.68,0.24,0.647058824
Crackling Doom ,0.44,0.68,0.24,0.647058824
Arcane Adaptation,1.3,2.01,0.71,0.646766169
Always Watching ,0.71,1.1,0.39,0.645454545
Scavenging Ooze,5.8,8.99,3.19,0.64516129
Stomping Ground ,8.34,12.93,4.59,0.645011601
Astral Cornucopia ,1.29,2,0.71,0.645
Mind Unbound,0.49,0.76,0.27,0.644736842
Sangromancer ,1.99,3.09,1.1,0.644012945
Sleight of Hand,0.95,1.48,0.53,0.641891892
Druidic Satchel,0.43,0.67,0.24,0.641791045
Runed Halo,0.77,1.2,0.43,0.641666667
Siege Behemoth ,1.75,2.73,0.98,0.641025641
Path to Exile,4.57,7.13,2.56,0.640953717
Thing in The Ice // Awoken Horror ,11.74,18.34,6.6,0.640130862
Desolate Lighthouse ,0.46,0.72,0.26,0.638888889
Sanctum Seeker,1.49,2.35,0.86,0.634042553
Sylvan Awakening,0.43,0.68,0.25,0.632352941
Realm Seekers,0.43,0.68,0.25,0.632352941
Thran Dynamo,5.3,8.39,3.09,0.63170441
Crush of Tentacles ,0.98,1.56,0.58,0.628205128
Warren Instigator ,4.67,7.45,2.78,0.626845638
Swans of Bryn Argoll ,1.12,1.79,0.67,0.625698324
Stomping Ground,7.99,12.78,4.79,0.625195618
Elvish Archdruid ,1.25,2,0.75,0.625
Stolen Strategy,1.69,2.72,1.03,0.621323529
Stony Silence,3.1,4.99,1.89,0.621242485
MOX Tantalite,3.41,5.49,2.08,0.621129326
"Garruk, Primal Hunter",1.8,2.9,1.1,0.620689655
Herald of The Pantheon ,0.44,0.71,0.27,0.61971831
Reckless Bushwhacker ,0.44,0.71,0.27,0.61971831
Goblin Welder ,1.01,1.63,0.62,0.619631902
Thoughtseize,23.4,37.81,14.41,0.618883893
"Rashmi, Eternities Crafter ",1.85,2.99,1.14,0.618729097
Wirewood Symbiote ,0.68,1.1,0.42,0.618181818
Armadillo Cloak,0.42,0.68,0.26,0.617647059
Conjurer's Bauble,0.42,0.68,0.26,0.617647059
Codex Shredder ,0.4,0.65,0.25,0.615384615
Molten Primordial ,0.4,0.65,0.25,0.615384615
Experiment One ,0.91,1.48,0.57,0.614864865
Master Biomancer ,2.6,4.23,1.63,0.61465721
Quasiduplicate ,0.94,1.53,0.59,0.614379085
Flusterstorm,3.78,6.16,2.38,0.613636364
Reality Smasher ,3,4.89,1.89,0.613496933
Life from The Loam,7.97,13,5.03,0.613076923
Urza's Ruinous Blast,0.44,0.72,0.28,0.611111111
Oblivion Stone,4.26,6.98,2.72,0.610315186
Skirk Prospector,1.25,2.05,0.8,0.609756098
True-Name Nemesis,8.49,13.99,5.5,0.606862044
Plague Belcher,0.63,1.04,0.41,0.605769231
Burn at The Stake ,0.86,1.42,0.56,0.605633803
Paradoxical Outcome ,1.27,2.1,0.83,0.604761905
Kami of False Hope,0.41,0.68,0.27,0.602941176
Karn's Temporal Sundering,0.94,1.56,0.62,0.602564103
Hangarback Walker ,9.99,16.6,6.61,0.601807229
"Garruk, Cursed Huntsman",3.39,5.64,2.25,0.60106383
Abbot of Keral Keep ,0.39,0.65,0.26,0.6
Boros Charm ,3.87,6.46,2.59,0.599071207
"Kambal, Consul of Allocation ",1.19,1.99,0.8,0.59798995
Unsettled Mariner,0.95,1.59,0.64,0.597484277
Oath of Kaya,0.59,0.99,0.4,0.595959596
Jace's Sanctum ,0.47,0.79,0.32,0.594936709
Game Plan,0.47,0.79,0.32,0.594936709
Ogre Battledriver,0.69,1.16,0.47,0.594827586
Deprive,2.96,4.99,2.03,0.593186373
Godless Shrine,7.21,12.16,4.95,0.592927632
Dream Fracture ,0.42,0.71,0.29,0.591549296
Battle Hymn ,0.4,0.68,0.28,0.588235294
Approach of the Second Sun,1.08,1.84,0.76,0.586956522
Hazoret the Fervent,4.07,6.95,2.88,0.585611511
Imposing Sovereign ,0.38,0.65,0.27,0.584615385
Wicked Wolf,0.87,1.49,0.62,0.583892617
Sphinx's Revelation ,6.99,12.07,5.08,0.57912179
Stomping Ground,10.99,19.05,8.06,0.576902887
Dream Eater ,0.53,0.92,0.39,0.576086957
Priest of Forgotten Gods,0.95,1.65,0.7,0.575757576
Path to Exile,5,8.69,3.69,0.575373993
"Sorin, Vengeful Bloodlord",1.43,2.49,1.06,0.574297189
Stensia Masquerade ,0.39,0.68,0.29,0.573529412
Kefnet the Mindful,0.57,1,0.43,0.57
Primordial Hydra ,14.24,24.99,10.75,0.569827931
Mob Rule ,0.37,0.65,0.28,0.569230769
Nature's Claim,0.37,0.65,0.28,0.569230769
Snow-Covered Island,0.7,1.23,0.53,0.569105691
Hedron Archive ,0.83,1.46,0.63,0.568493151
Lotus Vale,8.99,15.84,6.85,0.567550505
Overburden,12.51,22.09,9.58,0.566319602
"Mina and Denn, Wildborn ",1.41,2.49,1.08,0.56626506
Ajani Unyielding ,1.69,2.99,1.3,0.565217391
Wurmcoil Engine ,19.56,34.63,15.07,0.564828184
Verdant Sun's Avatar,0.66,1.17,0.51,0.564102564
Stalking Vengeance ,0.89,1.58,0.69,0.563291139
Command Tower ,1.12,1.99,0.87,0.56281407
Scourge of Valkas,1.17,2.09,0.92,0.559808612
Deathrite Shaman ,4.37,7.81,3.44,0.559539052
Whispering Madness ,0.38,0.68,0.3,0.558823529
Fatal Push,5.69,10.19,4.5,0.558390579
Magus of the Candelabra,0.53,0.95,0.42,0.557894737
Mass Manipulation,0.92,1.65,0.73,0.557575758
Master of Etherium,1.99,3.57,1.58,0.557422969
Insidious Will ,0.45,0.81,0.36,0.555555556
Master of The Pearl Trident ,2.37,4.27,1.9,0.555035129
Dance of The Manse,0.56,1.01,0.45,0.554455446
Frontier Siege ,0.36,0.65,0.29,0.553846154
Cathartic Reunion ,0.36,0.65,0.29,0.553846154
Chained to The Rocks ,0.36,0.65,0.29,0.553846154
Elvish Rejuvenator,0.36,0.65,0.29,0.553846154
Aria of Flame,0.69,1.25,0.56,0.552
Choked Estuary ,1.68,3.05,1.37,0.550819672
Eye of Ugin ,6.89,12.53,5.64,0.549880287
"Nissa, Voice of Zendikar ",7.62,13.91,6.29,0.547807333
Stunning Reversal,0.94,1.72,0.78,0.546511628
Brainstorm,0.72,1.32,0.6,0.545454545
Counterflux ,0.62,1.14,0.52,0.543859649
Gray Merchant of Asphodel,1.99,3.66,1.67,0.543715847
Languish ,0.94,1.74,0.8,0.540229885
Clock of Omens ,0.35,0.65,0.3,0.538461538
Azorius Charm ,0.35,0.65,0.3,0.538461538
Syphon Sliver ,3.84,7.14,3.3,0.537815126
Baneslayer Angel,4.99,9.28,4.29,0.537715517
Mausoleum Secrets ,0.5,0.93,0.43,0.537634409
